"gid,N,11,0","ra_30_nome,C,254","ra_prefixo,C,254","romano_C_254","RA_ROMANOS,C,254","NUM_ROMANO_C_254","COD,N,16,6","NOM_RA,C,254","v_2_1_1_N_16_6","v_2_1_2,N,16,6","v_2_1_3,N,16,6","v_2_1_4,N,16,6","v_2_1_5,N,16,6","v_2_1_6,N,16,6","v_2_1_7,N,16,6","v_2_1_8,N,16,6","v_2_1_9,N,16,6","v_2_1_10,N,16,6","v_2_1_11,N,16,6","v_2_1_12,N,16,6","v_2_1_13,N,16,6","v_2_1_14,N,16,6"
1,"Gama","RA - II","II","RA II","II","2,000000","Gama",37711,"36077,000000","559,000000","1075,000000","0,000000","0,000000","0,000000","100,000000","95,670000","1,480000","2,850000","0,000000","0,000000","0,000000"
2,"Varjão","RA - XXIII","XXIII","RA XXIII","XXIII","23,000000","Varjão",2334,"2328,000000","0,000000","6,000000","0,000000","0,000000","0,000000","100,000000","99,740000","0,000000","0,260000","0,000000","0,000000","0,000000"
3,"Sobradinho","RA - V","V","RA V","V","5,000000","Sobradinho",16975,"16775,000000","25,000000","175,000000","0,000000","0,000000","0,000000","100,000000","98,820000","0,150000","1,030000","0,000000","0,000000","0,000000"
4,"Paranoá","RA - VI","VI","RA VI","VI","6,000000","Planaltina",48048,"47936,000000","0,000000","56,000000","56,000000","0,000000","0,000000","100,000000","99,770000","0,000000","0,120000","0,120000","0,000000","0,000000"
5,"Park Way","RA - XXIV","XXIV","RA XXIV","XXIV","24,000000","Park Way",4977,"4896,000000","63,000000","0,000000","0,000000","0,000000","18,000000","100,000000","98,370000","1,270000","0,000000","0,000000","0,000000","0,360000"
6,"Santa Maria","RA - XIII","XIII","RA XIII","XIII","13,000000","Santa Maria",32604,"32566,000000","0,000000","38,000000","0,000000","0,000000","0,000000","100,000000","99,880000","0,000000","0,120000","0,000000","0,000000","0,000000"
7,"Brazlândia","RA - IV","IV","RA IV","IV","4,000000","Brazlândia",12180,"12160,000000","0,000000","20,000000","0,000000","0,000000","0,000000","100,000000","99,840000","0,000000","0,160000","0,000000","0,000000","0,000000"
8,"Brasília","RA - I","I","RA I","I","1,000000","Brasília",86583,"86338,000000","147,000000","98,000000","0,000000","0,000000","0,000000","100,000000","99,720000","0,170000","0,110000","0,000000","0,000000","0,000000"
9,"São Sebastião","RA - XIV","XIV","RA XIV","XIV","14,000000","São Sebastião",24072,"23698,000000","238,000000","68,000000","68,000000","0,000000","0,000000","100,000000","98,450000","0,990000","0,280000","0,280000","0,000000","0,000000"
10,"Lago Sul","RA - XVI","XVI","RA XVI","XVI","16,000000","Lago Sul",8560,"8560,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
11,"Recanto das Emas","RA - XV","XV","RA XV","XV","15,000000","Recanto das Emas",34320,"34120,000000","80,000000","0,000000","40,000000","80,000000","0,000000","100,000000","99,420000","0,230000","0,000000","0,120000","0,230000","0,000000"
12,"Taguatinga","RA - III","III","RA III","III","3,000000","Taguatinga",65182,"65182,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
13,"Ceilândia","RA - IX","IX","RA IX","IX","9,000000","Ceilândia",116910,"116640,000000","108,000000","108,000000","54,000000","0,000000","0,000000","100,000000","99,770000","0,090000","0,090000","0,050000","0,000000","0,000000"
14,"Sobradinho II","RA - XXVI","XXVI","RA XXVI","XXVI","26,000000","Sobradinho II",25843,"20726,000000","86,000000","5031,000000","0,000000","0,000000","0,000000","100,000000","80,200000","0,330000","19,470000","0,000000","0,000000","0,000000"
16,"Riacho Fundo II","RA - XXI","XXI","RA XXI","XXI","21,000000","Riacho Fundo II",10200,"10115,000000","85,000000","0,000000","0,000000","0,000000","0,000000","100,000000","99,170000","0,830000","0,000000","0,000000","0,000000","0,000000"
17,"Samambaia","RA - XII","XII","RA XII","XII","12,000000","Samambaia",60696,"60426,000000","162,000000","108,000000","0,000000","0,000000","0,000000","100,000000","99,560000","0,270000","0,180000","0,000000","0,000000","0,000000"
18,"Planaltina","RA - VI","VI","RA VI","VI","6,000000","Planaltina",48048,"47936,000000","0,000000","56,000000","56,000000","0,000000","0,000000","100,000000","99,770000","0,000000","0,120000","0,120000","0,000000","0,000000"
20,"SIA","RA - XXIX","XXIX","RA XXIX","XXIX","29,000000","S I A¹",1435,"1435,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
21,"Jardim Botânico","RA - XXVII","XXVII","RA XXVII","XXVII","27,000000","Jardim Botânico",7245,"6495,000000","60,000000","690,000000","0,000000","0,000000","0,000000","100,000000","89,650000","0,830000","9,520000","0,000000","0,000000","0,000000"
22,"Lago Norte","RA - XVIII","XVIII","RA XVIII","XVIII","18,000000","Lago Norte",10860,"10540,000000","60,000000","260,000000","0,000000","0,000000","0,000000","100,000000","97,050000","0,550000","2,390000","0,000000","0,000000","0,000000"
24,"Park Way","RA - XXIV","XXIV","RA XXIV","XXIV","24,000000","Park Way",4977,"4896,000000","63,000000","0,000000","0,000000","0,000000","18,000000","100,000000","98,370000","1,270000","0,000000","0,000000","0,000000","0,360000"
25,"Guará","RA - X","X","RA X","X","10,000000","Guará",34238,"34238,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
27,"Riacho Fundo","RA - XVII","XVII","RA XVII","XVII","17,000000","Riacho Fundo",10476,"10476,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
28,"SCIA","RA - XXV","XXV","RA XXV","XXV","25,000000","SCIA - Estrutural",8313,"8228,000000","17,000000","0,000000","34,000000","0,000000","34,000000","100,000000","98,980000","0,200000","0,000000","0,410000","0,000000","0,410000"
29,"Vicente Pires","RA - XXX","XXX","RA XXX","XXX","30,000000","Vicente Pires",18408,"17524,000000","416,000000","364,000000","52,000000","0,000000","52,000000","100,000000","95,200000","2,260000","1,980000","0,280000","0,000000","0,280000"
32,"Águas Claras","RA - XX","XX","RA XX","XX","20,000000","Águas Claras",35350,"34790,000000","105,000000","420,000000","0,000000","35,000000","0,000000","100,000000","98,420000","0,300000","1,190000","0,000000","0,100000","0,000000"
33,"Itapoã","RA - XXVIII","XXVIII","RA XXVIII","XXVIII","28,000000","Itapoã",14016,"13968,000000","48,000000","0,000000","0,000000","0,000000","0,000000","100,000000","99,660000","0,340000","0,000000","0,000000","0,000000","0,000000"
35,"Núcleo Bandeirante","RA - VIII","VIII","RA VIII","VIII","8,000000","Núcleo Bandeirante",7212,"7212,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
39,"Candangolândia","RA - XIX","XIX","RA XIX","XIX","19,000000","Candangolândia",5236,"5236,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
42,"Cruzeiro","RA - XI","XI","RA XI","XI","11,000000","Cruzeiro",10183,"10183,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
49,"Sudoeste/Octogonal","RA - XXII","XXII","RA XXII","XXII","22,000000","Sudoeste/Octogonal",22165,"22165,000000","0,000000","0,000000","0,000000","0,000000","0,000000","100,000000","100,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
